num,entry_time,entry_price,direction,initial_sl,grade,score,pnl_usd,r_multiple
0,2026-02-15 10:45:00,5043.45,BUY,5043.24,D,44,-226.17,-1.13085
1,2026-02-15 12:30:00,5042.85,SELL,5043.06,D,42,-244.48,-1.2506867829704424
2,2026-02-17 07:00:00,4992.83,BUY,4990.22,D,29,-266.31,-1.3973146122243383
3,2026-02-17 10:15:00,4995.77,BUY,4994.32,D,31,-812.12,-4.383658064739006
4,2026-02-19 07:00:00,4978.76,BUY,4972.18,D,25,-270.27,-1.5990566707530065
5,2026-02-19 10:00:00,4974.53,SELL,4977.85,C,51,-403.9,-2.468630243318074
6,2026-02-21 07:00:00,5079.78,BUY,5074.12,C,54,673.83,4.332336773073585
7,2026-02-23 11:00:00,5136.58,BUY,5129.91,C,52,242.66,1.4357594389970865
8,2026-02-23 12:30:00,5165.6,BUY,5154.45,B,70,-186.51,-1.0727300753228945
9,2026-02-23 14:15:00,5164.07,BUY,5153.35,C,50,-175.37,-1.030772106320525
10,2026-02-23 16:30:00,5157.0,BUY,5151.09,D,32,-257.57,-1.5457860421347775
11,2026-02-25 07:15:00,5169.13,BUY,5162.65,C,45,-242.75,-1.5033212407060377
12,2026-02-25 08:45:00,5143.35,SELL,5150.34,C,52,-16.64,-0.10624387054593007
13,2026-02-25 10:30:00,5148.58,SELL,5155.43,C,58,-159.65,-1.0215115683865685
14,2026-02-27 07:00:00,5197.29,BUY,5190.77,C,54,-261.07,-1.705281034651687
15,2026-02-27 11:15:00,5188.95,BUY,5184.79,D,44,-605.68,-4.095930578548166
16,2026-03-01 07:45:00,5278.15,BUY,5277.93,D,42,-178.56,-1.315262227460224
17,2026-03-01 11:30:00,5278.25,BUY,5278.03,D,44,-229.96,-1.7396330097557435
18,2026-03-03 07:15:00,5333.76,BUY,5323.12,D,33,-142.41,-1.1161568027488136
19,2026-03-03 09:15:00,5322.67,SELL,5330.22,C,48,-399.25,-3.2006214456467545
20,2026-03-05 07:00:00,5129.5,SELL,5138.51,C,47,-209.83,-1.7971605839165994
21,2026-03-05 08:30:00,5135.46,SELL,5143.18,D,32,-277.6,-2.4662446095320005
22,2026-03-05 10:00:00,5146.82,BUY,5141.48,C,53,395.17,3.6929083674274223
23,2026-03-07 07:00:00,5156.18,BUY,5149.18,D,44,-307.5,-2.6759793649357073
24,2026-03-11 07:00:00,5197.84,SELL,5207.49,D,34,-183.19,-1.6843322802617113
25,2026-03-11 11:30:00,5209.14,BUY,5203.46,C,54,-176.84,-1.6826296368892097
26,2026-03-13 07:45:00,5078.92,SELL,5086.72,D,44,-105.17,-1.0355393725519544
27,2026-03-13 09:15:00,5092.8,SELL,5099.23,D,41,-122.23,-1.2289708537943964
28,2026-03-13 10:45:00,5099.14,SELL,5102.57,D,29,-236.29,-2.435662996353051
29,2026-03-15 07:00:00,5019.44,SELL,5019.66,D,40,-212.31,-2.3005456901745434
30,2026-03-17 07:00:00,5018.28,BUY,5010.84,D,44,-129.73,-1.4735247147338844
31,2026-03-17 09:15:00,5000.88,SELL,5005.93,D,39,-148.13,-1.7336095311658828
32,2026-03-19 09:30:00,4827.11,SELL,4835.59,D,40,-90.32,-1.0950082077120973
33,2026-03-19 11:00:00,4843.04,SELL,4849.45,D,29,-108.62,-1.3463564584701964
34,2026-03-21 08:00:00,4497.29,SELL,4511.91,D,40,-90.13,-1.1480855898890003
35,2026-03-23 09:00:00,4503.19,BUY,4500.13,D,36,308.75,4.02531876613387
36,2026-03-23 10:30:00,4489.1,SELL,4499.54,C,52,152.89,1.8447820263764378
37,2026-03-24 08:00:00,4407.26,SELL,4421.79,C,45,95.6,1.1124713154624206
38,2026-03-24 09:30:00,4408.49,SELL,4419.5,D,34,-185.31,-2.109467846296052
39,2026-03-26 07:00:00,4527.93,SELL,4539.86,D,40,-2.76,-0.03280223815851088
40,2026-03-26 09:00:00,4513.63,SELL,4524.18,D,30,-182.53,-2.1707692417470814
41,2026-03-28 07:00:00,4510.15,BUY,4499.71,D,28,-144.36,-1.7947455578928533
42,2026-03-28 09:00:00,4507.92,BUY,4501.08,D,42,-162.88,-2.100387374980013
43,2026-04-01 07:15:00,4671.86,BUY,4663.86,C,52,-91.59,-1.2328711805088175
44,2026-04-01 09:00:00,4665.32,BUY,4659.89,C,57,113.62,1.568076490997569
45,2026-04-01 10:30:00,4691.1,BUY,4682.85,B,69,139.8,1.8707196248926152
46,2026-04-01 12:00:00,4708.38,BUY,4696.1,C,52,-83.29,-1.0743409358852323
47,2026-04-03 07:00:00,4673.82,BUY,4666.48,C,47,-87.82,-1.157646636998292
48,2026-04-03 08:30:00,4676.76,BUY,4671.71,B,63,-4.84,-0.06531326075104855
