num,time,dir,grade,score,r,pnl,tp_hit,reason
0,2025-10-13 09:00:00,BUY,A,72,2.88,557.22,6,SL Hit
1,2025-10-15 07:00:00,BUY,A,68,-1.95,-400.85,0,SL Hit
2,2025-11-05 08:45:00,BUY,A,72,-1.41,-291.06,0,SL Hit
3,2025-11-10 12:15:00,BUY,A,71,-1.3,-262.4,0,SL Hit
4,2025-11-13 08:00:00,BUY,A,71,-1.26,-248.0,0,SL Hit
5,2025-11-19 09:30:00,BUY,A,68,-1.39,-270.15,0,SL Hit
6,2025-11-27 08:30:00,BUY,A,71,-1.35,-246.16,0,SL Hit
7,2025-12-01 07:30:00,BUY,A,68,-1.09,-189.31,0,SL Hit
8,2025-12-03 14:45:00,BUY,A,69,-1.4,-250.05,0,SL Hit
9,2025-12-05 12:45:00,BUY,A,68,1.51,247.92,3,SL Hit
10,2025-12-12 14:00:00,BUY,A,69,-2.34,-397.84,0,SL Hit
11,2025-12-16 08:15:00,SELL,A,75,-1.03,-168.78,0,SL Hit
12,2025-12-18 12:15:00,SELL,A,75,-1.9,-308.4,0,SL Hit
13,2025-12-22 07:30:00,BUY,A,75,3.0,476.36,5,SL Hit
14,2026-01-02 08:00:00,BUY,A,69,-1.35,-231.54,0,SL Hit
15,2026-01-08 12:00:00,SELL,A,68,-1.2,-192.25,0,SL Hit
16,2026-01-12 08:30:00,BUY,A,71,-0.19,-31.39,1,SL Hit
17,2026-01-26 12:00:00,BUY,A,68,-1.58,-245.25,0,SL Hit
