entry_time,exit_time,direction,entry_price,exit_price,sl,grade,score,exit_reason,lot_size,pnl_pips,pnl_usd,partials,session,choch,pd_zone,aligned,has_bos
2025-10-14 17:30:00,2025-10-14 17:45:00,BUY,4149.48,4145.48,4145.48,B,22,SL,0.5,-40.0,-200.0,0,NY,bullish,premium,2,True
2025-10-16 12:15:00,2025-10-16 12:30:00,BUY,4238.55,4234.55,4234.55,A,24,SL,0.49,-40.0,-196.0,0,LN/NY overlap,bullish,premium,2,True
2025-10-22 09:00:00,2025-10-22 09:15:00,SELL,4074.9,4078.9,4078.9,A,27,SL,0.48,-40.0,-192.0,0,London,bearish,discount,3,True
2025-10-22 11:15:00,2025-10-22 11:30:00,SELL,4019.75,4023.75,4023.75,A,27,SL,0.47,-40.0,-188.0,0,London,bearish,discount,3,True
2025-10-27 13:45:00,2025-10-27 17:00:00,SELL,4021.46,4000.46,4000.46,A,29,SL,0.46,210.0,922.0,8,LN/NY overlap,bearish,discount,3,True
2025-10-28 07:00:00,2025-10-28 10:45:00,SELL,3945.89,3924.89,3924.89,A,27,SL,0.51,210.0,1170.0,9,London,bearish,discount,3,True
2025-10-28 12:45:00,2025-10-28 13:00:00,SELL,3912.15,3916.15,3916.15,A,29,SL,0.57,-40.0,-228.0,0,LN/NY overlap,bearish,discount,3,True
2025-10-29 15:30:00,2025-10-29 17:45:00,SELL,4003.48,3995.48,3995.48,A,24,SL,0.55,80.0,480.0,4,LN/NY overlap,bearish,discount,2,True
2025-10-31 16:15:00,2025-10-31 16:30:00,SELL,3985.39,3989.39,3989.39,B,22,SL,0.58,-40.0,-232.0,0,NY,bearish,discount,3,False
2025-10-31 18:30:00,2025-10-31 19:00:00,SELL,4003.38,4003.1800000000003,4003.1800000000003,B,22,SL,0.57,2.0,45.6,1,NY,bearish,discount,2,True
2025-11-03 10:30:00,2025-11-03 11:00:00,SELL,3997.41,4001.41,4001.41,A,27,SL,0.57,-40.0,-228.0,0,London,bearish,discount,3,True
2025-11-03 18:15:00,2025-11-03 18:30:00,SELL,4000.82,4004.82,4004.82,B,22,SL,0.56,-40.0,-224.0,0,NY,bearish,discount,3,False
2025-11-06 08:00:00,2025-11-06 09:45:00,BUY,4009.12,4009.3199999999997,4009.3199999999997,A,28,SL,0.55,2.0,41.4,1,London,bullish,discount,2,False
2025-11-06 15:00:00,2025-11-06 15:15:00,SELL,3982.0,3986.0,3986.0,A,24,SL,0.55,-40.0,-220.0,0,LN/NY overlap,bearish,discount,3,False
2025-11-07 07:45:00,2025-11-07 08:15:00,BUY,4007.91,4003.91,4003.91,A+,33,SL,0.54,-40.0,-216.0,0,London,bullish,discount,2,True
2025-11-10 19:15:00,2025-11-10 19:30:00,BUY,4114.55,4110.55,4110.55,A,27,SL,0.53,-40.0,-212.0,0,NY,bullish,premium,3,True
2025-11-11 10:30:00,2025-11-11 11:00:00,BUY,4139.56,4139.76,4139.76,A,27,SL,0.52,2.0,40.8,1,London,bullish,premium,3,True
2025-11-12 10:00:00,2025-11-12 10:15:00,BUY,4125.66,4121.66,4121.66,B,22,SL,0.52,-40.0,-208.0,0,London,bullish,premium,3,False
2025-11-13 10:15:00,2025-11-13 10:30:00,BUY,4235.03,4231.03,4231.03,A,27,SL,0.51,-40.0,-204.0,0,London,bullish,premium,3,True
2025-11-18 17:30:00,2025-11-18 18:00:00,BUY,4073.14,4069.14,4069.14,A,28,SL,0.5,-40.0,-200.0,0,NY,bullish,equilibrium,2,False
2025-11-19 07:00:00,2025-11-19 07:45:00,BUY,4087.39,4087.5899999999997,4087.5899999999997,A,33,SL,0.49,2.0,75.4,2,London,bullish,equilibrium,3,False
2025-11-19 11:45:00,2025-11-19 12:15:00,BUY,4113.03,4113.23,4113.23,A+,38,SL,0.49,2.0,36.4,1,London,bullish,equilibrium,3,True
2025-11-20 17:45:00,2025-11-20 18:00:00,SELL,4065.64,4069.64,4069.64,A+,33,SL,0.49,-40.0,-196.0,0,NY,bearish,equilibrium,2,True
2025-11-21 15:15:00,2025-11-21 15:30:00,BUY,4069.1,4065.1,4065.1,A,30,SL,0.48,-40.0,-192.0,0,LN/NY overlap,bullish,equilibrium,2,False
2025-11-21 19:15:00,2025-11-21 19:30:00,BUY,4090.65,4086.65,4086.65,A+,38,SL,0.47,-40.0,-188.0,0,NY,bullish,equilibrium,3,True
2025-11-24 09:00:00,2025-11-24 09:15:00,BUY,4072.16,4068.16,4068.16,A+,33,SL,0.46,-40.0,-184.0,0,London,bullish,equilibrium,2,True
2025-11-24 12:30:00,2025-11-24 13:00:00,BUY,4079.06,4079.2599999999998,4079.2599999999998,A+,40,SL,0.46,2.0,35.8,1,LN/NY overlap,bullish,equilibrium,3,True
2025-11-25 16:15:00,2025-11-25 16:30:00,BUY,4140.56,4136.56,4136.56,B,22,SL,0.46,-40.0,-184.0,0,NY,bullish,premium,3,False
2025-11-26 19:00:00,2025-11-26 19:30:00,BUY,4166.88,4162.88,4162.88,A,27,SL,0.45,-40.0,-180.0,0,NY,bullish,premium,3,True
2025-11-27 09:30:00,2025-11-27 10:15:00,BUY,4157.53,4153.53,4153.53,B,22,SL,0.44,-40.0,-176.0,0,London,bullish,premium,3,False
