entry_time,exit_time,direction,entry_price,sl,tp1,tp2,tp3,tp4,tp5,grade,score,exit_reason,tp_hits,pnl_usd,balance,session,lot_per_order
2025-10-14 17:30:00,2025-10-14 17:45:00,BUY,4149.48,4145.48,4153.48,4157.48,4161.48,4165.48,4169.48,A,26,SL,,-20.0,1180.0,NY,0.01
2025-10-16 12:15:00,2025-10-16 12:30:00,BUY,4238.55,4234.55,4242.55,4246.55,4250.55,4254.55,4258.55,A+,28,SL,,-20.0,1160.0,LN/NY,0.01
2025-10-22 09:00:00,2025-10-22 09:15:00,SELL,4074.9,4078.9,4070.9,4066.9,4062.9,4058.9,4054.9,A+,36,SL,,-20.0,1140.0,London,0.01
2025-10-22 11:15:00,2025-10-22 11:30:00,SELL,4019.75,4023.75,4015.75,4011.75,4007.75,4003.75,3999.75,A+,31,SL,,-20.0,1120.0,London,0.01
2025-10-27 13:45:00,2025-10-27 14:00:00,SELL,4021.46,4021.26,4017.46,4013.46,4009.46,4005.46,4001.46,A+,33,TP5,"1,2,3,4,5",60.0,1180.0,LN/NY,0.01
2025-10-27 14:15:00,2025-10-27 14:45:00,SELL,3998.11,3997.9100000000003,3994.11,3990.11,3986.11,3982.11,3978.11,A+,33,SL@BE,"1,2,3",24.4,1204.4,LN/NY,0.01
2025-10-27 15:00:00,2025-10-27 15:15:00,SELL,3978.11,3982.11,3974.11,3970.11,3966.11,3962.11,3958.11,A+,33,SL,,-20.0,1184.4,LN/NY,0.01
2025-10-27 17:15:00,2025-10-27 17:45:00,SELL,4004.6,4004.4,4000.6,3996.6,3992.6,3988.6,3984.6,A+,31,SL@BE,1,4.8,1189.2,NY,0.01
2025-10-27 18:00:00,2025-10-27 19:15:00,SELL,4008.86,4008.6600000000003,4004.86,4000.86,3996.86,3992.86,3988.86,A+,31,TP5,"1,2,3,4,5",60.0,1249.2,NY,0.01
2025-10-28 07:00:00,2025-10-28 07:30:00,SELL,3945.89,3945.69,3941.89,3937.89,3933.89,3929.89,3925.89,A+,31,TP5,"1,2,3,4,5",60.0,1309.2,London,0.01
2025-10-28 07:45:00,2025-10-28 08:15:00,SELL,3931.81,3931.61,3927.81,3923.81,3919.81,3915.81,3911.81,A+,31,TP5,"1,2,3,4,5",60.0,1369.2,London,0.01
2025-10-28 08:30:00,2025-10-28 08:45:00,SELL,3904.92,3908.92,3900.92,3896.92,3892.92,3888.92,3884.92,A+,31,SL,,-20.0,1349.2,London,0.01
2025-10-28 10:45:00,2025-10-28 11:30:00,SELL,3925.96,3925.76,3921.96,3917.96,3913.96,3909.96,3905.96,A+,31,SL@BE,"1,2,3",24.4,1373.6,London,0.01
2025-10-28 12:30:00,2025-10-28 13:00:00,SELL,3915.61,3915.4100000000003,3911.61,3907.61,3903.61,3899.61,3895.61,A+,33,SL@BE,"1,2",12.6,1386.2,LN/NY,0.01
2025-10-28 13:15:00,2025-10-28 13:45:00,SELL,3931.98,3931.78,3927.98,3923.98,3919.98,3915.98,3911.98,A+,33,SL@BE,"1,2,3,4",40.2,1426.4,LN/NY,0.01
