entry_time,exit_time,direction,entry_price,sl,sl_pips,tp1,tp2,tp3,tp4,tp5,grade,score,exit_reason,tp_hits,pnl_usd,balance,session,lot_per_order
2025-10-14 17:30:00,2025-10-16 12:30:00,BUY,4149.48,4149.679999999999,200,4169.48,4189.48,4209.48,4229.48,4249.48,A,26,TP5,"1,2,3,4,5",300.0,1500.0,NY,0.01
2025-10-16 12:45:00,2025-10-16 22:00:00,BUY,4236.11,4236.3099999999995,200,4256.11,4276.11,4296.11,4316.11,4336.11,A+,28,TP5,"1,2,3,4,5",300.0,1800.0,LN/NY,0.01
2025-10-22 09:00:00,2025-10-22 13:30:00,SELL,4074.9,4074.7000000000003,200,4054.9,4034.9,4014.9,3994.9,3974.9,A+,36,SL@BE,"1,2,3",120.4,1920.4,London,0.01
2025-10-27 13:45:00,2025-10-28 07:30:00,SELL,4021.46,4021.26,200,4001.46,3981.46,3961.46,3941.46,3921.46,A+,33,TP5,"1,2,3,4,5",300.0,2220.4,LN/NY,0.01
2025-10-28 07:45:00,2025-10-28 13:15:00,SELL,3931.81,3931.61,200,3911.81,3891.81,3871.81,3851.81,3831.81,A+,31,SL@BE,"1,2",60.6,2281.0,London,0.01
2025-10-29 14:30:00,2025-10-30 09:15:00,SELL,4009.72,4009.52,200,3989.72,3969.72,3949.72,3929.72,3909.72,A,25,SL@BE,"1,2,3,4",200.2,2481.2,LN/NY,0.01
2025-10-31 16:15:00,2025-10-31 18:00:00,SELL,3985.39,4005.39,200,3965.39,3945.39,3925.39,3905.39,3885.39,A,27,SL,,-100.0,2381.2,NY,0.01
2025-11-03 10:30:00,2025-11-03 13:00:00,SELL,3997.41,4017.41,200,3977.41,3957.41,3937.41,3917.41,3897.41,A+,31,SL,,-100.0,2281.2,London,0.01
2025-11-03 18:15:00,2025-11-06 07:15:00,SELL,4000.82,4000.6200000000003,200,3980.82,3960.82,3940.82,3920.82,3900.82,A,27,SL@BE,"1,2,3",120.4,2401.6,NY,0.01
2025-11-06 08:00:00,2025-11-06 14:15:00,BUY,4009.12,3989.12,200,4029.12,4049.12,4069.12,4089.12,4109.12,B,22,SL,,-100.0,2301.6,London,0.01
2025-11-06 16:15:00,2025-11-07 06:45:00,SELL,3983.23,4003.23,200,3963.23,3943.23,3923.23,3903.23,3883.23,A,27,SL,,-100.0,2201.6,NY,0.01
2025-11-07 12:15:00,2025-11-07 16:30:00,SELL,3997.88,4017.88,200,3977.88,3957.88,3937.88,3917.88,3897.88,A+,29,SL,,-100.0,2101.6,LN/NY,0.01
2025-11-10 19:15:00,2025-11-11 15:15:00,BUY,4114.55,4114.75,200,4134.55,4154.55,4174.55,4194.55,4214.55,A+,31,SL@BE,1,20.8,2122.4,NY,0.01
2025-11-12 10:00:00,2025-11-13 08:00:00,BUY,4125.66,4125.86,200,4145.66,4165.66,4185.66,4205.66,4225.66,A,27,TP5,"1,2,3,4,5",300.0,2422.4,London,0.01
2025-11-13 10:15:00,2025-11-13 14:00:00,BUY,4235.03,4215.03,200,4255.03,4275.03,4295.03,4315.03,4335.03,A+,31,SL,,-100.0,2322.4,London,0.01
2025-11-18 17:30:00,2025-11-19 16:15:00,BUY,4073.14,4073.3399999999997,200,4093.14,4113.14,4133.14,4153.14,4173.14,A,27,SL@BE,"1,2",60.6,2383.0,NY,0.01
2025-11-19 17:45:00,2025-11-19 23:30:00,SELL,4078.31,4098.31,200,4058.31,4038.31,4018.31,3998.31,3978.31,B,22,SL,,-100.0,2283.0,NY,0.01
2025-11-20 17:45:00,2025-11-20 19:15:00,SELL,4065.64,4085.64,200,4045.64,4025.64,4005.64,3985.64,3965.64,A,26,SL,,-100.0,2183.0,NY,0.01
2025-11-21 15:15:00,2025-11-21 20:15:00,BUY,4069.1,4069.2999999999997,200,4089.1,4109.1,4129.1,4149.1,4169.1,A,24,SL@BE,1,20.8,2203.8,LN/NY,0.01
2025-11-24 09:00:00,2025-11-26 11:30:00,BUY,4072.16,4072.3599999999997,200,4092.16,4112.16,4132.16,4152.16,4172.16,A+,31,TP5,"1,2,3,4,5",300.0,2503.8,London,0.01
2025-11-26 19:00:00,2025-11-27 02:45:00,BUY,4166.88,4146.88,200,4186.88,4206.88,4226.88,4246.88,4266.88,A+,31,SL,,-100.0,2403.8,NY,0.01
2025-11-27 09:30:00,2025-11-28 08:15:00,BUY,4157.53,4157.73,200,4177.53,4197.53,4217.53,4237.53,4257.53,A,27,SL@BE,1,20.8,2424.6,London,0.01
2025-12-01 09:30:00,2025-12-01 14:30:00,BUY,4247.5,4227.5,200,4267.5,4287.5,4307.5,4327.5,4347.5,A+,31,SL,,-100.0,2324.6,London,0.01
2025-12-03 15:15:00,2025-12-03 16:45:00,BUY,4221.9,4201.9,200,4241.9,4261.9,4281.9,4301.9,4321.9,A+,29,SL,,-100.0,2224.6,LN/NY,0.01
2025-12-04 11:30:00,2025-12-05 16:15:00,BUY,4200.31,4200.51,200,4220.31,4240.31,4260.31,4280.31,4300.31,B,22,SL@BE,"1,2",60.6,2285.2,London,0.01
2025-12-08 15:00:00,2025-12-09 03:15:00,SELL,4177.72,4197.72,200,4157.72,4137.72,4117.72,4097.72,4077.72,A+,28,SL,,-100.0,2185.2,LN/NY,0.01
2025-12-09 07:00:00,2025-12-09 09:00:00,SELL,4182.3,4202.3,200,4162.3,4142.3,4122.3,4102.3,4082.3,A,26,SL,,-100.0,2085.2,London,0.01
2025-12-10 20:15:00,2025-12-11 03:00:00,BUY,4232.8,4212.8,200,4252.8,4272.8,4292.8,4312.8,4332.8,A,27,SL,,-100.0,1985.2,NY,0.01
2025-12-11 09:30:00,2025-12-12 09:45:00,BUY,4217.78,4217.98,200,4237.78,4257.78,4277.78,4297.78,4317.78,A+,28,TP5,"1,2,3,4,5",300.0,2285.2,London,0.01
2025-12-12 12:00:00,2025-12-12 15:15:00,BUY,4333.03,4333.23,200,4353.03,4373.03,4393.03,4413.03,4433.03,A+,33,SL@BE,1,20.8,2306.0,LN/NY,0.01
2025-12-16 15:45:00,2025-12-16 16:30:00,BUY,4319.93,4299.93,200,4339.93,4359.93,4379.93,4399.93,4419.93,A+,29,SL,,-100.0,2206.0,LN/NY,0.01
2025-12-16 19:00:00,2025-12-22 05:30:00,BUY,4305.99,4306.19,200,4325.99,4345.99,4365.99,4385.99,4405.99,A+,31,TP5,"1,2,3,4,5",300.0,2506.0,NY,0.01
2025-12-22 07:00:00,2025-12-24 00:15:00,BUY,4412.92,4413.12,200,4432.92,4452.92,4472.92,4492.92,4512.92,A+,31,TP5,"1,2,3,4,5",300.0,2806.0,London,0.01
2025-12-26 13:45:00,2025-12-26 17:00:00,BUY,4525.14,4525.34,200,4545.14,4565.14,4585.14,4605.14,4625.14,A+,38,SL@BE,1,20.8,2826.8,LN/NY,0.01
2025-12-30 14:30:00,2025-12-31 01:45:00,SELL,4370.78,4370.58,200,4350.78,4330.78,4310.78,4290.78,4270.78,A,24,SL@BE,"1,2",60.6,2887.4,LN/NY,0.01
2025-12-31 20:45:00,2026-01-01 23:00:00,SELL,4312.74,4332.74,200,4292.74,4272.74,4252.74,4232.74,4212.74,A,27,SL,,-100.0,2787.4,NY,0.01
2026-01-02 17:00:00,2026-01-02 20:45:00,SELL,4329.68,4329.4800000000005,200,4309.68,4289.68,4269.68,4249.68,4229.68,B,22,SL@BE,1,20.8,2808.2,NY,0.01
2026-01-06 14:30:00,2026-01-07 01:00:00,BUY,4479.35,4479.55,200,4499.35,4519.35,4539.35,4559.35,4579.35,A+,33,SL@BE,1,20.8,2829.0,LN/NY,0.01
2026-01-07 17:30:00,2026-01-08 02:30:00,BUY,4456.93,4436.93,200,4476.93,4496.93,4516.93,4536.93,4556.93,A,27,SL,,-100.0,2729.0,NY,0.01
2026-01-08 15:00:00,2026-01-12 00:00:00,BUY,4448.15,4448.349999999999,200,4468.15,4488.15,4508.15,4528.15,4548.15,A+,29,TP5,"1,2,3,4,5",300.0,3029.0,LN/NY,0.01
2026-01-12 15:00:00,2026-01-12 20:30:00,BUY,4617.45,4597.45,200,4637.45,4657.45,4677.45,4697.45,4717.45,A+,34,SL,,-100.0,2929.0,LN/NY,0.01
2026-01-13 16:00:00,2026-01-13 17:45:00,BUY,4612.57,4592.57,200,4632.57,4652.57,4672.57,4692.57,4712.57,A+,31,SL,,-100.0,2829.0,NY,0.01
2026-01-14 13:30:00,2026-01-14 14:30:00,BUY,4636.97,4616.97,200,4656.97,4676.97,4696.97,4716.97,4736.97,A+,33,SL,,-100.0,2729.0,LN/NY,0.01
2026-01-14 19:45:00,2026-01-14 21:30:00,BUY,4639.3,4619.3,200,4659.3,4679.3,4699.3,4719.3,4739.3,A+,31,SL,,-100.0,2629.0,NY,0.01
2026-01-15 12:15:00,2026-01-15 13:30:00,BUY,4616.66,4596.66,200,4636.66,4656.66,4676.66,4696.66,4716.66,A+,29,SL,,-100.0,2529.0,LN/NY,0.01
2026-01-16 07:00:00,2026-01-16 13:15:00,BUY,4610.11,4590.11,200,4630.11,4650.11,4670.11,4690.11,4710.11,A,27,SL,,-100.0,2429.0,London,0.01
2026-01-19 13:15:00,2026-01-20 23:30:00,BUY,4671.93,4672.13,200,4691.93,4711.93,4731.93,4751.93,4771.93,A+,29,TP5,"1,2,3,4,5",300.0,2729.0,LN/NY,0.01
2026-01-21 07:45:00,2026-01-21 11:45:00,BUY,4855.36,4855.5599999999995,200,4875.36,4895.36,4915.36,4935.36,4955.36,A+,31,SL@BE,1,20.8,2749.8,London,0.01
2026-01-22 19:45:00,2026-01-23 08:15:00,BUY,4911.88,4912.08,200,4931.88,4951.88,4971.88,4991.88,5011.88,A+,32,SL@BE,"1,2",60.6,2810.4,NY,0.01
2026-01-23 13:45:00,2026-01-26 00:00:00,BUY,4939.24,4939.44,200,4959.24,4979.24,4999.24,5019.24,5039.24,A+,33,TP5,"1,2,3,4,5",300.0,3110.4,LN/NY,0.01
2026-01-26 17:30:00,2026-01-26 18:00:00,BUY,5102.39,5082.39,200,5122.39,5142.39,5162.39,5182.39,5202.39,A+,36,SL,,-100.0,3010.4,NY,0.01
2026-01-27 09:15:00,2026-01-27 11:45:00,BUY,5088.52,5068.52,200,5108.52,5128.52,5148.52,5168.52,5188.52,A+,31,SL,,-100.0,2910.4,London,0.01
2026-01-27 17:00:00,2026-01-28 01:00:00,BUY,5091.49,5091.69,200,5111.49,5131.49,5151.49,5171.49,5191.49,A+,36,TP5,"1,2,3,4,5",300.0,3210.4,NY,0.01
